title,content,source_file,run_id,segment_id,confidence_score,needs_attention
Basque,"Region: Northern Spain and Southwest France
Language(s): Basque (Euskara), Spanish, French (PGLS Supported: Basque)
Overview: The Basque people maintain a distinct identity, language, and heritage unrelated to surrounding Romance cultures. Proud of autonomy and cultural endurance.
Family & Social Structure: Egalitarian tendencies in family; deep regional pride and intergenerational continuity.
Communication Style: Reserved with outsiders; warm and witty in community.
Etiquette & Customs: Personal space respected. Family gatherings and regional festivals are important.
Beliefs & Worldview: Catholic heritage, with some secular lean. Strong preservation of folklore and pre-Christian symbols.
Health & Mental Health Considerations: Mental health is more openly addressed than in surrounding regions.
Gender Roles & Sensitivities: Balanced roles; women often lead in public life.
Interpreter/Service Notes: Clarify preferred language (Basque vs. Spanish/French). Respect regional terminology and identity.

📘 Culture Entry: Bengali",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,56ab485a-566e-4ec1-adfa-bd292599cfca,medium,True
Bengali,"Region: South Asia (Bangladesh, West Bengal – India) / U.S., UK Diaspora
Language(s): Bengali (Bangla), English, Hindi (PGLS Supported)
Overview: Bengali culture is rich in literature, music, and food, shaped by Hindu-Muslim coexistence and colonial history.
Family & Social Structure: Extended families with deep respect for education and parental authority.
Communication Style: Formal with strangers, poetic and passionate in expression.
Etiquette & Customs: Elders greeted with respect. Food and religious festivals central to social life.
Beliefs & Worldview: Hinduism and Islam are both prevalent. Cultural practices often transcend religious lines.
Health & Mental Health Considerations: Preference for family-based care. Mental health stigma remains in some communities.
Gender Roles & Sensitivities: Traditional roles with growing parity, especially in urban areas.
Interpreter/Service Notes: Clarify dialect (Bangladesh vs. West Bengal). Gender match preferred for sensitive issues. Respect spiritual phrasing.

📘 Culture Entry: Bosnian",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,1f70172e-3df1-439e-9d28-f5e2e545c66c,medium,True
Bosnian,"Region: Balkans (Bosnia and Herzegovina) / Global Diaspora (U.S., Germany, Scandinavia)
Language(s): Bosnian, Serbian, Croatian (mutually intelligible) (PGLS Supported: Bosnian)
Overview: Bosnian culture reflects Ottoman, Slavic, and Austro-Hungarian influences with strong community identity and post-war diaspora resilience.
Family & Social Structure: Tight-knit family units with respect for parents and elders. Community and religious networks are strong.
Communication Style: Direct yet polite. Warmth and hospitality are central.
Etiquette & Customs: Handshakes common; coffee rituals are symbolic. Generosity and honor are social priorities.
Beliefs & Worldview: Islam (Sunni), Catholicism, and Orthodox Christianity coexist. Religion may be cultural more than devout for some.
Health & Mental Health Considerations: Mental illness stigmatized, especially for older generations. Trauma from war and displacement may be present.
Gender Roles & Sensitivities: Gender roles traditional, but diaspora communities often more egalitarian.
Interpreter/Service Notes: Clarify dialect (Bosnian vs. Serbian vs. Croatian). Be trauma-informed and allow pauses when addressing sensitive history.

📘 Culture Entry: Burmese (Myanmar)",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,a7490f68-9d33-4e3a-8159-8d1246284989,medium,True
Burmese,"Region: Southeast Asia (Myanmar) / U.S. and Thai Border Diaspora
Language(s): Burmese, Chin, Karen, English (PGLS Supported: Burmese)
Overview: Burmese culture centers on Theravada Buddhism, social hierarchy, and colonial/post-colonial resilience.
Family & Social Structure: Hierarchical family systems; elders are obeyed. Respect is coded by age and status.
Communication Style: Soft-spoken, indirect. Avoid public disagreement or overt emotional expression.
Etiquette & Customs: Feet are symbolic of impurity. Touching someone’s head is disrespectful.
Beliefs & Worldview: Buddhism dominant; karma, merit, and monastic life hold strong influence.
Health & Mental Health Considerations: Mental health may be spiritualized. Illness could be viewed as karmic.
Gender Roles & Sensitivities: Traditional roles common. Women may be hesitant to speak publicly.
Interpreter/Service Notes: Match gender if possible. Speak softly, use indirect phrasing, and respect spiritual perspective.

📘 Culture Entry: Cambodian (Khmer)
Cambodian (Khmer)
Region: Southeast Asia (Cambodia) / U.S., France, Australia Diaspora
Language(s): Khmer, English, French (PGLS Supported: Khmer)
Overview: Cambodian culture is deeply influenced by Theravada Buddhism, family honor, and survival after genocide.
Family & Social Structure: Multigenerational families. Elders and monks are deeply respected.
Communication Style: Quiet and indirect. Avoiding shame and saving face are important.
Etiquette & Customs: Head considered sacred; don’t touch. Feet are symbolically unclean. Monks are revered.
Beliefs & Worldview: Karma, merit-making, and spiritual purity shape choices. Religious holidays are central.
Health & Mental Health Considerations: Illness may be spiritualized. Mental health rarely discussed openly; intergenerational trauma present.
Gender Roles & Sensitivities: Traditionally conservative; roles evolving in diaspora.
Interpreter/Service Notes: Gentle pace, match gender, and emphasize respect in phrasing. Allow space for slow trust-building.
📘 Culture Entry: Chaldean",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,ba6a60c6-6550-4ff5-bc47-826302e634d9,medium,True
Chaldean,"Region: Middle East (Iraq) / U.S. Diaspora (Michigan, California)
Language(s): Chaldean Neo-Aramaic, Arabic, English (PGLS Supported: Chaldean)
Overview: Chaldeans are Eastern Rite Catholics with deep Mesopotamian roots and a strong diasporic community identity in the U.S.
Family & Social Structure: Patriarchal, family-centered households. Church and family intersect strongly in daily life.
Communication Style: Warm and expressive with family; polite and cautious with unfamiliar professionals.
Etiquette & Customs: Hospitality is central. Elders respected, and modesty in dress/behavior is expected.
Beliefs & Worldview: Chaldean Catholicism is core to identity. Religious holidays and saints are celebrated widely.
Health & Mental Health Considerations: Mental illness may be kept private. Faith leaders sometimes consulted over professionals.
Gender Roles & Sensitivities: Gender expectations traditional but evolving among diaspora youth.
Interpreter/Service Notes: Respect Catholic references. Gender match preferred. Explain confidentiality with care.

📘 Culture Entry: Chin (Zomi, Hakha, Falam)",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,fae56f4f-c3bf-418b-8902-443dd882678a,medium,True
Chin,"Region: Myanmar (Chin State) / U.S. Diaspora (Indianapolis, Fort Wayne, Dallas)
Language(s): Chin (Zomi, Hakha, Falam), Burmese, English (PGLS Supported: Chin)
Overview: Chin communities are primarily Christian, clan-oriented, and shaped by persecution and displacement from Myanmar.
Family & Social Structure: Patriarchal and family-centered. Church elders hold high social influence.
Communication Style: Humble, reserved, and deferential. Silence often used to avoid conflict.
Etiquette & Customs: Modest dress; respect for elders and pastors is expected. Group decision-making common.
Beliefs & Worldview: Christianity is deeply practiced. Faith shapes moral, medical, and family decisions.
Health & Mental Health Considerations: Mental illness is often stigmatized; prayer or spiritual healing preferred.
Gender Roles & Sensitivities: Men typically speak publicly; women influential in home and church.
Interpreter/Service Notes: Gender match often expected. Use soft tone. Clarify trust and confidentiality clearly.
📘 Culture Entry: Burmese (Diaspora Addendum)
Burmese (Diaspora)
Region: Burmese Diaspora (U.S. – Indiana, Minnesota, Texas; Malaysia, Thailand, Australia)
Language(s): Burmese, Karen, Chin, English (PGLS Supported: Burmese)
Overview: Refugee and immigrant Burmese communities retain Buddhist values, collective identity, and oral traditions while navigating displacement.
Family & Social Structure: Tight family units, often with church or temple as community center. Elders and spiritual leaders respected.
Communication Style: Indirect and soft-spoken. Emotional expression often avoided in public.
Etiquette & Customs: Shoes off indoors. Heads are sacred. Deference to monks and elders emphasized.
Beliefs & Worldview: Theravada Buddhism, Christianity (esp. Chin/Karen), and animism all present. Spiritual explanation of hardship common.
Health & Mental Health Considerations: Mental illness often linked to karma or spirit imbalance. Trust in Western systems may take time.
Gender Roles & Sensitivities: Traditional roles; women often lead at home and in refugee adaptation.
Interpreter/Service Notes: Use slow, clear speech. Gender match often preferred. Validate spiritual context when possible.

📘 Culture Entry: Cambodian (Diaspora Addendum)
Cambodian (Diaspora)
Region: Cambodian Diaspora (U.S. – California, Massachusetts; France, Australia)
Language(s): Khmer, English, French (PGLS Supported: Khmer)
Overview: Diasporic Cambodians often balance Buddhist traditions with trauma from genocide and resettlement. Cultural identity is carried through food, ritual, and resilience.
Family & Social Structure: Multigenerational; many led by single parents or grandparents post-resettlement. Monks guide social values.
Communication Style: Quiet and respectful. Emotional openness rare; indirectness valued.
Etiquette & Customs: Avoid touching head. Formal greetings to elders. Shoes removed indoors.
Beliefs & Worldview: Theravada Buddhism and ancestor spirit reverence persist. Karma and fate shape interpretations of life events.
Health & Mental Health Considerations: PTSD and intergenerational trauma common. Mental illness still stigmatized.
Gender Roles & Sensitivities: Women carry cultural memory; traditional roles blend with new responsibilities in diaspora.
Interpreter/Service Notes: Trauma-informed approach critical. Gender matching appreciated. Validate spiritual and family-based coping.
📘 Culture Entry: Amharic (Expanded)
Amharic (Expanded)
Region: Ethiopia (Amhara region) / Global Diaspora (U.S., Israel, U.K.)
Language(s): Amharic, English, Tigrinya, Oromo (PGLS Supported: Amharic)
Overview: Amharic culture is deeply tied to Orthodox Christianity, imperial legacy, and respect for formality and lineage.
Family & Social Structure: Patriarchal and hierarchical. Extended families often share living spaces or remain closely connected.
Communication Style: Formal and indirect in public; emotional and relational in trusted circles.
Etiquette & Customs: Elders greeted first. Food offered as respect. Church attendance common.
Beliefs & Worldview: Ethiopian Orthodox Church plays a major social role. Fasting seasons, saints’ days, and spiritual protection are widely observed.
Health & Mental Health Considerations: Mental illness sometimes viewed as spiritual imbalance. Clergy or elders may be consulted first.
Gender Roles & Sensitivities: Gender roles often traditional, though women may lead households.
Interpreter/Service Notes: Gender match appreciated. Show deep respect to elders and spiritual leaders. Speak calmly and allow time for decisions.

📘 Culture Entry: Albanian",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,d22cca14-5b6d-4d4c-bef6-9363e06c8c5f,medium,True
Albanian,"Region: Balkans (Albania, Kosovo, North Macedonia) / Diaspora in Italy, Switzerland, U.S.
Language(s): Albanian (Tosk, Gheg dialects), Italian, English (PGLS Supported: Albanian)
Overview: Albanian culture emphasizes hospitality, family honor, and resilience shaped by communist history and diaspora movement.
Family & Social Structure: Extended families common. Strong patriarchal roles; loyalty to kin central.
Communication Style: Direct and expressive among trusted relations; formal with outsiders.
Etiquette & Customs: Guests offered food and drink repeatedly. Elders given respect and deference.
Beliefs & Worldview: Islam, Catholicism, and Orthodoxy all practiced; secularism widespread. National pride often transcends religion.
Health & Mental Health Considerations: Mental illness may carry stigma. Trust in institutions varies.
Gender Roles & Sensitivities: Traditional roles common; diaspora youth more egalitarian.
Interpreter/Service Notes: Clarify dialect (Tosk vs. Gheg). Gender match advised. Avoid making assumptions about religious adherence.

📘 Culture Entry: Afar",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,9f5fff78-e4e6-4e11-9c3c-acee5309469c,medium,True
Afar,"Region: East Africa (Ethiopia, Eritrea, Djibouti)
Language(s): Afar, Amharic, Arabic (PGLS Supported: Afar)
Overview: A pastoralist, nomadic people known for resilience, clan loyalty, and adaptation to extreme environments.
Family & Social Structure: Clan-based, male-led, and tightly bonded. Elders guide spiritual, legal, and moral matters.
Communication Style: Reserved, respectful, and coded by age and social rank.
Etiquette & Customs: Generosity and honor in hosting. Religion guides gender interactions and dress.
Beliefs & Worldview: Sunni Islam dominant. Spiritual traditions may mix with cultural customs.
Health & Mental Health Considerations: Traditional healers may be consulted first. Mental health rarely discussed openly.
Gender Roles & Sensitivities: Traditional expectations strong. Modesty is a core value.
Interpreter/Service Notes: Gender matching essential. Explain systems clearly. Allow space for trust-building and indirect communication.

Let’s keep going. Say the word — “k.”


📘 Culture Entry: Dari (Diaspora Addendum)
Dari (Diaspora)
Region: Afghan Diaspora (U.S., Canada, Germany, Iran)
Language(s): Dari, Pashto, Farsi, English (PGLS Supported: Dari)
Overview: Dari-speaking Afghans in diaspora often navigate Islamic tradition, refugee trauma, and complex political histories. Education and religious life are central.
Family & Social Structure: Patriarchal, but adaptable. Community support systems replace extended family when dispersed.
Communication Style: Courteous and indirect. Humility emphasized, especially in formal settings.
Etiquette & Customs: Hospitality key; guests offered tea and sweets. Modesty and gender rules guide public behavior.
Beliefs & Worldview: Sunni and Shia Islam practiced. Spiritual protection sought during hardship.
Health & Mental Health Considerations: PTSD and grief common. Mental illness often reframed as spiritual or moral test.
Gender Roles & Sensitivities: Women may defer to men in public forums. Variance by region and level of integration.
Interpreter/Service Notes: Gender match essential. Build slow trust. Allow space for silence and spiritual phrasing.


📘 Culture Entry: Croatian",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,5064ca4c-9af2-4f16-9868-10d49a26d20a,medium,True
Croatian,"Region: Balkans (Croatia) / Diaspora in U.S., Australia, Germany
Language(s): Croatian (PGLS Supported), Serbian, Bosnian
Overview: Croatian identity is tied to Catholic tradition, coastal pride, and post-Yugoslav independence.
Family & Social Structure: Families are central; parents and grandparents exert strong influence.
Communication Style: Polite and formal with strangers; open and direct with family.
Etiquette & Customs: Formal greetings used; handshakes are standard. Hospitality emphasized through shared meals and strong coffee.
Beliefs & Worldview: Roman Catholicism plays a major role. Holidays and church sacraments are family events.
Health & Mental Health Considerations: Emotional challenges may be minimized or kept private. Generational differences in stigma.
Gender Roles & Sensitivities: Traditional roles still observed in rural areas. Urban youth more gender-equal.
Interpreter/Service Notes: Clarify dialect/regional identity. Be aware of nationalist pride and possible war-related trauma.

📘 Culture Entry: Dari (Afghan Persian)
Dari (Afghan Persian)
Region: Afghanistan / U.S., Canada, and European Diaspora
Language(s): Dari, Pashto, Farsi (PGLS Supported: Dari)
Overview: Dari is one of Afghanistan’s two official languages. Culturally tied to Persian heritage, Afghan traditions, and Islamic values.
Family & Social Structure: Extended, male-led families; honor and hospitality guide social norms.
Communication Style: Formal, indirect, and respectful. Modesty in tone and body language expected.
Etiquette & Customs: Men often greet with hand over heart. Women may not shake hands. Modest dress and deference to elders expected.
Beliefs & Worldview: Islam is central. Religion guides dietary rules, daily prayer, and healthcare decisions.
Health & Mental Health Considerations: Mental illness often stigmatized; spiritual framing common. Trauma from conflict and displacement is widespread.
Gender Roles & Sensitivities: Gender separation often expected. Women may not speak freely in mixed-gender settings.
Interpreter/Service Notes: Gender-matching essential. Clarify purpose of service carefully and build trust gradually.

📘 Culture Entry: Dinka",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,2e0b967b-2ab5-4131-9da8-0c11f9a9e8f5,medium,True
Dinka,"Region: South Sudan / U.S., Australia, East African Diaspora
Language(s): Dinka, English, Arabic (PGLS Supported: Dinka)
Overview: Nilotic people known for pastoralist heritage, clan systems, and resilience through displacement and civil war.
Family & Social Structure: Large extended families; elders and male heads lead decisions. Lineage and cattle central to identity.
Communication Style: Respectful and straightforward. Tone may vary by age/gender of listener.
Etiquette & Customs: Elders addressed first. Personal space may be smaller; formality varies by context.
Beliefs & Worldview: Christianity dominant, but animist traditions persist. Cattle play spiritual and economic roles.
Health & Mental Health Considerations: Trauma from war or migration common. Mental health is rarely discussed openly.
Gender Roles & Sensitivities: Strong gender role division. Men lead in public settings; women in domestic sphere.
Interpreter/Service Notes: Gender-matching advised. Be trauma-informed. Clarify procedures and decisions slowly and respectfully.

📘 Culture Entry: Dutch",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,86a4b881-119b-4ec8-a5ff-20460301931f,medium,True
Dutch,"Region: Western Europe (Netherlands) / Global Expat Diaspora
Language(s): Dutch, English (PGLS Supported)
Overview: Dutch culture values pragmatism, tolerance, individualism, and directness. Secularism is strong, with emphasis on personal freedom and privacy.
Family & Social Structure: Nuclear families common. Equality and autonomy emphasized from childhood.
Communication Style: Direct and low-context. Honesty valued over formality.
Etiquette & Customs: Punctuality important. Informal tone used even with professionals. Bluntness not meant as disrespect.
Beliefs & Worldview: Predominantly secular. Christian holidays celebrated culturally more than religiously.
Health & Mental Health Considerations: Mental health openly discussed; stigma is low. Preventive care and autonomy prioritized.
Gender Roles & Sensitivities: High gender equality. LGBTQ+ rights widely accepted.
Interpreter/Service Notes: Expect direct questions. Clarify bureaucracy-related terms. Formality often unnecessary but respect is still key.

📘 Culture Entry: Egyptian",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,dde5ff63-55b0-4f2b-9da1-c8a190434531,medium,True
Egyptian,"Region: North Africa / Global Diaspora (U.S., Gulf States, Europe)
Language(s): Arabic (Egyptian dialect), English, French (PGLS Supported: Arabic – Egyptian)
Overview: Egyptian identity is a blend of Arab, African, Mediterranean, and Pharaonic heritage. Hospitality, faith, and family guide daily life.
Family & Social Structure: Patriarchal families. Strong respect for elders and parental authority. Extended family is often co-residential.
Communication Style: Expressive, animated, often indirect in delicate topics. Humor and metaphor are common.
Etiquette & Customs: Right hand used for greeting. Modest attire expected. Religious observance influences daily behavior.
Beliefs & Worldview: Islam (majority Sunni), with Christian (Coptic) minority. Religious identity influences holidays, diet, and social roles.
Health & Mental Health Considerations: Mental illness may be spiritualized or kept private. Religious leaders may be consulted.
Gender Roles & Sensitivities: Traditional gender norms prevalent. Urban youth may show greater equality.
Interpreter/Service Notes: Gender-matching preferred. Avoid rushed questioning. Use respectful religious expressions.

📘 Culture Entry: Eritrean",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,afed6d9c-c08e-4cc1-a547-f563511fbe7b,medium,True
